text,label
"Bitcoin price shows strong resistance near 65k.",safe
"Tips for long-term crypto investment.",safe
"Latest Bitcoin market update and trends.",safe
"Congratulations! You have won 2 BTC. Claim now at http://bit.ly/claim",scam
"How to secure your crypto wallet effectively.",safe
"Blockchain technology explained in simple terms.",safe
"Urgent: Your wallet is compromised. Verify immediately.",scam
"Elon Musk BTC giveaway! Limited time offer.",scam
"Invest now and double your Bitcoin in 24 hours.",scam
"Send 0.1 BTC and receive 0.5 BTC instantly!",scam
"Your account is blocked update KYC immediately",scam
"Click this link to receive your refund",scam
"Share OTP to verify your bank account",scam
"Government giving free money apply now",scam
"Your electricity will be disconnected today pay now",scam
"PAN card suspended verify within 24 hours",scam
"Aadhaar blocked update details now",scam
"Income tax refund of 18450 approved click here",scam
"EPF withdrawal ready submit bank details",scam
"DHL parcel on hold pay 49 rupees",scam
"You won KBC lottery 25 lakh claim now",scam
"Pre approved SBI loan apply instantly",scam
"Credit card blocked update CVV now",scam
"Reward points expiring redeem immediately",scam
"Approve 1 rupee to receive 5000 rupees",scam
"FASTag suspended pay penalty now",scam
"LPG subsidy credited verify account",scam
"Government scholarship approved apply fast",scam
"Pension arrears released update Aadhaar",scam
"Upgrade SIM to 5G share OTP",scam
"Free 10GB Jio data claim now",scam
"Invest 5000 earn 50000 in 7 days",scam
"Double your money government scheme",scam
"SEBI approved forex trading signals join now",scam
"Mutual fund maturity claim pending",scam
"Donate to PM disaster relief fund now",scam
"Army officer selling car send advance",scam
"IRCTC account blocked verify now",scam
"Airline refund pending submit card details",scam
"Netflix subscription failed update payment",scam
"Amazon refund of 3999 click link",scam
"Facebook account disabled login now",scam
"Instagram copyright violation verify account",scam
"GST cancellation notice respond immediately",scam
"Legal notice issued pay fine now",scam
"RBI account verification required today",scam
"EPFO KYC incomplete update now",scam
"Bank reward voucher worth 9999 claim",scam
"Limited time crypto investment opportunity",scam
"Work from home earn 3000 daily registration fee",scam
"Online part time job pay 500 to join",scam
"Canada visa approved processing fee required",scam
"Your ATM card blocked share OTP",scam
"Lottery winner send bank details",scam
"Update bank details to avoid suspension",scam
"Click here to activate your cashback",scam
"Scan QR code to receive money",scam
"Urgent police complaint against you pay now",scam
"CBI investigation notice immediate action required",scam
"Pay small fee to release parcel",scam
"Meeting tomorrow at 10 AM",safe
"Your Amazon order has been delivered",safe
"See you in class today",safe
"Call me when you reach home",safe
"Happy birthday have a great day",safe
"Project submission deadline is next week",safe
"Let us have lunch at 1 PM",safe
"Your train departs at 6 PM platform 3",safe
"Assignment uploaded on portal",safe
"Electricity bill paid successfully",safe
"Your OTP for login is 458921 do not share",safe
"Package delivered at your doorstep",safe
"Reminder doctor appointment tomorrow",safe
"Bus will arrive in 5 minutes",safe
"Team meeting rescheduled to Friday",safe
"Your bank transaction of 2500 completed",safe
"Exam starts at 9 AM tomorrow",safe
"Recharge successful thank you",safe
"Movie tickets booked successfully",safe
"Your food order is on the way",safe
"Class cancelled today",safe
"Results declared check portal",safe
"Room rent due on first of month",safe
"Your password changed successfully",safe
"Payment received thank you",safe
"Lab session postponed to Monday",safe
"Flight check in open now",safe
"Library book due tomorrow",safe
"Happy anniversary dear friend",safe
"Please send me the notes",safe
"Reached safely",safe
"Interview scheduled at 3 PM",safe
"Good morning have a nice day",safe
"Assignment marks uploaded",safe
"Your subscription renewed successfully",safe
"Dinner at 8 tonight",safe
"See you at gym",safe
"Conference starts at 11 AM",safe
"Train running late by 20 minutes",safe
"Recharge reminder from service provider",safe
"Thank you for your purchase",safe
"Semester exam timetable released",safe
"Please review the document attached",safe
"Bank statement generated successfully",safe
"Your cab has arrived",safe
"Meeting link shared in group",safe
"Package shipped via courier",safe
"Coffee later today",safe
"Invoice attached for your reference",safe
"Welcome to the team",safe
